SWEEP,comment,?F,?A,?P,CURR TYPE,F OUTCOME,A OUTCOME,P OUTCOME,SKIP,lpre,apre,lcla,acla,lpos,apos
4,cell attached,0.783039779,2.707362059,3.254373451,n/a,-1,1,1,1,,,,,,
5,cell attached,0.813240794,2.102429051,2.471997227,n/a,-1,1,1,1,,,,,,
6,cell attached,1.556754335,0.99053944,4.010271275,n/a,1,0,1,1,,,,,,
7,cell attached,1.619791096,1.510143674,4.152561112,n/a,1,1,1,1,,,,,,
8,cell attached,1.189477906,0.269921368,2.762873195,n/a,1,-1,1,1,,,,,,
9,cell attached,0.880894968,0.19733662,2.103355129,n/a,-1,-1,1,1,,,,,,
10,cell attached,1.40461192,0.150898124,1.866352164,n/a,1,-1,1,1,,,,,,
11,na,0.936503182,2.280514692,3.19304539,e,0,1,1,1,0.040758031,2.910567146,0.117651228,2.196674092,0,0
12,na,0.910623664,2.916825428,3.670335794,e,0,1,1,1,0.003035607,-0.293782028,0.112793693,2.060159618,0,0
13,,0.955889573,2.83377952,3.854943365,i,0,1,1,1,0.07178869,-2.962831844,0.114347015,2.937326122,0.059801099,-3.040868769
14,,0.957108205,2.948021878,3.68856702,i,0,1,1,0,0.07178869,-2.962831844,0.114347015,2.937326122,0.059801099,-3.040868769
15,wrong f cl,1.133429839,0.233060045,1.950708688,i,1,-1,1,1,0.065704991,3.114971979,0.013108124,-2.202845634,0.059293777,3.057653926
16,wrong f cl,1.343763277,0.152923489,1.746571022,i,1,-1,1,1,0.065704991,3.114971979,0.013108124,-2.202845634,0.059293777,3.057653926
17,wrong f cl,1.628234579,1.72139516,3.22542693,i,1,1,1,1,0.069312907,-3.075826615,0.007240315,2.009209484,0.053623439,-3.119820374
18,wrong f cl,1.54630535,1.214142008,3.980262633,i,1,1,1,1,0.001572361,2.777436539,0.004421257,-1.948260137,0.023587779,-2.209108288
19,,0.825819518,2.470267775,3.07296425,i,-1,1,1,0,0.001572361,2.777436539,0.004421257,-1.948260137,0.023587779,-2.209108288
20,wrong f po,0.789749864,2.602877591,3.078634364,i,-1,1,1,1,0.053754413,-3.02084023,0.074450885,-3.111688043,0.001633226,-1.241961157
21,no mod; wrong f po,1.037936353,1.219338345,1.116697236,i,0,1,1,1,0.047435829,-3.093949673,0.001455426,2.033667053,0.002179316,-1.35038962
22,no mod; wrong f po,1.012248852,1.259953902,1.25712992,i,0,1,1,1,0.046746046,-3.072142828,0.0535935,-2.963235932,0.038783206,2.983340095
23,no mod; wrong f po,1.003050092,1.122648292,1.103982894,e,0,1,1,1,0.028600853,-1.675418665,0.019437323,-2.520140879,0.007326435,1.488104673
24,no mod; wrong f; na,1.032212952,1.006196972,1.063956709,e,0,0,0,1,0.005999833,-3.125197884,0,0,0.00326704,-2.577000049
25,wrong f; na,1.363807585,3.727781332,3.765026064,e,1,1,1,1,0.002517053,-0.767206146,0.084294475,1.030408593,0,0
26,wrong f cl,1.264709519,4.276068656,4.216023659,e,1,1,1,1,0.023407225,-2.418956784,0.001551568,-0.376617888,0.004687368,2.92961478
27,wrong f cl,1.251864696,5.224783541,4.870366516,i,1,1,1,1,0.062403425,3.137620801,0.000711501,0.509529164,0.03873417,-3.085067897
28,,1.29645436,3.548580046,3.990362103,i,1,1,1,0,0.063551342,3.079417322,0.097691519,-2.944126224,0.046615558,3.074860611
29,analysed,0.613480765,0.285544107,0.537292425,i,-1,-1,-1,0,14.10329762,2.445130658,24.35008267,2.048237153,9.261780606,2.574511296
30,analysed,0.591736592,0.203167732,0.452979261,i,-1,-1,-1,0,13.35350318,2.415371364,20.84980495,1.957593746,6.995808676,2.503574838
31,borderline f cl,0.589416637,0.136824537,0.348148791,e,-1,-1,-1,0,1.109402422,1.263928852,14.09107673,1.367049978,1.451289133,1.667671192
32,analysed,0.562624202,0.300039536,0.43832327,e,-1,-1,-1,0,1.059726354,1.546895793,15.41850297,1.36147631,1.860259178,1.731481526
